
> fake-arduino-iot@1.0.0 start
> node src/index.js

Fake Arduino at http://localhost:3000
2026-02-24T11:39:02.767Z - GET /humidity
2026-02-24T11:39:02.783Z - GET /temperature
2026-02-24T11:40:02.522Z - GET /humidity
2026-02-24T11:40:02.526Z - GET /temperature
2026-02-24T11:41:03.405Z - GET /humidity
2026-02-24T11:41:03.416Z - GET /temperature
2026-02-24T11:42:02.645Z - GET /humidity
2026-02-24T11:42:02.648Z - GET /temperature
2026-02-24T11:43:02.619Z - GET /humidity
2026-02-24T11:43:02.671Z - GET /temperature
2026-02-24T11:44:02.681Z - GET /humidity
2026-02-24T11:44:02.684Z - GET /temperature
2026-02-24T11:44:55.471Z - GET /humidity
2026-02-24T11:44:55.567Z - GET /temperature
2026-02-24T11:44:55.870Z - GET /humidity
2026-02-24T11:44:55.970Z - GET /temperature
2026-02-24T11:44:56.169Z - GET /humidity
2026-02-24T11:44:56.367Z - GET /temperature
2026-02-24T11:45:02.877Z - GET /humidity
2026-02-24T11:45:02.880Z - GET /temperature
2026-02-24T11:45:05.719Z - GET /humidity
2026-02-24T11:45:05.790Z - GET /temperature
2026-02-24T11:45:06.015Z - GET /humidity
2026-02-24T11:45:06.171Z - GET /temperature
2026-02-24T11:45:06.368Z - GET /humidity
2026-02-24T11:45:06.668Z - GET /temperature
2026-02-24T11:45:15.464Z - GET /humidity
2026-02-24T11:45:15.569Z - GET /humidity
2026-02-24T11:45:15.767Z - GET /humidity
2026-02-24T11:45:26.166Z - GET /humidity
2026-02-24T11:45:26.370Z - GET /humidity
2026-02-24T11:45:26.568Z - GET /humidity
2026-02-24T11:45:36.175Z - GET /humidity
2026-02-24T11:45:36.471Z - GET /humidity
2026-02-24T11:45:36.668Z - GET /humidity
2026-02-24T11:45:46.164Z - GET /humidity
2026-02-24T11:45:46.270Z - GET /humidity
2026-02-24T11:45:46.372Z - GET /humidity
2026-02-24T11:45:56.096Z - GET /humidity
2026-02-24T11:45:56.187Z - GET /humidity
2026-02-24T11:45:56.364Z - GET /humidity
2026-02-24T11:46:02.659Z - GET /humidity
2026-02-24T11:46:02.662Z - GET /temperature
2026-02-24T11:46:06.090Z - GET /humidity
2026-02-24T11:46:06.174Z - GET /humidity
2026-02-24T11:46:06.367Z - GET /humidity
2026-02-24T11:46:15.500Z - GET /humidity
2026-02-24T11:46:15.769Z - GET /humidity
2026-02-24T11:46:15.874Z - GET /humidity
2026-02-24T11:46:26.097Z - GET /humidity
2026-02-24T11:46:26.184Z - GET /humidity
2026-02-24T11:46:26.290Z - GET /humidity
2026-02-24T11:46:36.578Z - GET /humidity
2026-02-24T11:46:37.468Z - GET /humidity
2026-02-24T11:46:37.711Z - GET /humidity
2026-02-24T11:46:46.101Z - GET /humidity
2026-02-24T11:46:46.276Z - GET /humidity
2026-02-24T11:46:46.472Z - GET /humidity
2026-02-24T11:46:56.100Z - GET /humidity
2026-02-24T11:46:56.276Z - GET /humidity
2026-02-24T11:46:56.471Z - GET /humidity
2026-02-24T11:47:02.686Z - GET /humidity
2026-02-24T11:47:02.689Z - GET /temperature
2026-02-24T11:47:06.092Z - GET /humidity
2026-02-24T11:47:06.266Z - GET /humidity
2026-02-24T11:47:06.368Z - GET /humidity
2026-02-24T11:47:16.095Z - GET /humidity
2026-02-24T11:47:16.182Z - GET /humidity
2026-02-24T11:47:16.283Z - GET /humidity
2026-02-24T11:47:34.696Z - GET /humidity
2026-02-24T11:47:34.872Z - GET /humidity
2026-02-24T11:47:34.978Z - GET /humidity
2026-02-24T11:47:35.493Z - GET /humidity
2026-02-24T11:47:35.686Z - GET /humidity
2026-02-24T11:47:35.791Z - GET /humidity
2026-02-24T11:47:45.565Z - GET /humidity
2026-02-24T11:47:45.692Z - GET /humidity
2026-02-24T11:47:45.872Z - GET /humidity
2026-02-24T11:47:53.671Z - GET /temperature
2026-02-24T11:47:53.871Z - GET /temperature
2026-02-24T11:47:54.069Z - GET /temperature
2026-02-24T11:47:56.737Z - GET /humidity
2026-02-24T11:47:56.788Z - GET /humidity
2026-02-24T11:47:56.970Z - GET /humidity
2026-02-24T11:48:02.631Z - GET /humidity
2026-02-24T11:48:02.632Z - GET /temperature
2026-02-24T11:48:06.791Z - GET /humidity
2026-02-24T11:48:06.889Z - GET /humidity
2026-02-24T11:48:07.092Z - GET /humidity
2026-02-24T11:48:16.866Z - GET /humidity
2026-02-24T11:48:17.068Z - GET /humidity
2026-02-24T11:48:17.173Z - GET /humidity
2026-02-24T11:48:26.793Z - GET /humidity
2026-02-24T11:48:26.888Z - GET /humidity
2026-02-24T11:48:27.309Z - GET /humidity
2026-02-24T11:48:37.093Z - GET /humidity
2026-02-24T11:48:37.172Z - GET /humidity
2026-02-24T11:48:37.273Z - GET /humidity
2026-02-24T11:48:47.092Z - GET /humidity
2026-02-24T11:48:47.174Z - GET /humidity
2026-02-24T11:48:47.364Z - GET /humidity
2026-02-24T11:48:57.091Z - GET /humidity
2026-02-24T11:48:57.174Z - GET /humidity
2026-02-24T11:48:57.266Z - GET /humidity
2026-02-24T11:49:02.479Z - GET /humidity
2026-02-24T11:49:02.480Z - GET /temperature
2026-02-24T11:49:06.789Z - GET /humidity
2026-02-24T11:49:06.887Z - GET /humidity
2026-02-24T11:49:07.093Z - GET /humidity
2026-02-24T11:49:17.044Z - GET /humidity
2026-02-24T11:49:17.113Z - GET /humidity
2026-02-24T11:49:17.300Z - GET /humidity
2026-02-24T11:49:27.024Z - GET /humidity
2026-02-24T11:49:27.199Z - GET /humidity
2026-02-24T11:49:27.300Z - GET /humidity
2026-02-24T11:49:37.083Z - GET /humidity
2026-02-24T11:49:37.196Z - GET /humidity
2026-02-24T11:49:37.297Z - GET /humidity
2026-02-24T11:49:47.105Z - GET /humidity
2026-02-24T11:49:47.293Z - GET /humidity
2026-02-24T11:49:47.399Z - GET /humidity
2026-02-24T11:49:57.021Z - GET /humidity
2026-02-24T11:49:57.101Z - GET /humidity
2026-02-24T11:49:57.204Z - GET /humidity
2026-02-24T11:50:02.512Z - GET /temperature
2026-02-24T11:50:02.514Z - GET /humidity
2026-02-24T11:50:07.021Z - GET /humidity
2026-02-24T11:50:07.301Z - GET /humidity
2026-02-24T11:50:07.321Z - GET /humidity
2026-02-24T11:51:02.509Z - GET /humidity
2026-02-24T11:51:02.512Z - GET /temperature
2026-02-24T11:51:08.096Z - GET /humidity
2026-02-24T11:51:08.118Z - GET /humidity
2026-02-24T11:51:08.400Z - GET /humidity
2026-02-24T11:52:02.636Z - GET /humidity
2026-02-24T11:52:02.641Z - GET /temperature
2026-02-24T11:52:08.042Z - GET /humidity
2026-02-24T11:52:08.195Z - GET /humidity
2026-02-24T11:52:08.300Z - GET /humidity
2026-02-24T11:53:02.719Z - GET /humidity
2026-02-24T11:53:02.724Z - GET /temperature
2026-02-24T11:53:08.076Z - GET /humidity
2026-02-24T11:53:08.241Z - GET /humidity
2026-02-24T11:53:08.436Z - GET /humidity
2026-02-24T11:54:02.540Z - GET /humidity
2026-02-24T11:54:02.601Z - GET /temperature
2026-02-24T11:54:08.056Z - GET /humidity
2026-02-24T11:54:08.291Z - GET /humidity
2026-02-24T11:54:08.395Z - GET /humidity
2026-02-24T11:55:02.646Z - GET /humidity
2026-02-24T11:55:02.659Z - GET /temperature
2026-02-24T11:56:02.603Z - GET /humidity
2026-02-24T11:56:02.606Z - GET /temperature
2026-02-24T11:56:16.719Z - GET /humidity
2026-02-24T11:56:16.892Z - GET /humidity
2026-02-24T11:56:17.018Z - GET /humidity
2026-02-24T11:56:27.024Z - GET /humidity
2026-02-24T11:56:27.193Z - GET /humidity
