
> fake-arduino-iot@1.0.0 start
> node src/index.js

Fake Arduino at http://localhost:3004
2026-02-24T11:40:02.537Z - GET /temperature
2026-02-24T11:41:03.413Z - GET /temperature
2026-02-24T11:42:02.661Z - GET /temperature
2026-02-24T11:43:02.679Z - GET /temperature
2026-02-24T11:44:02.686Z - GET /temperature
2026-02-24T11:44:55.569Z - GET /temperature
2026-02-24T11:44:55.972Z - GET /temperature
2026-02-24T11:44:56.366Z - GET /temperature
2026-02-24T11:45:02.889Z - GET /temperature
2026-02-24T11:45:05.869Z - GET /temperature
2026-02-24T11:45:06.174Z - GET /temperature
2026-02-24T11:45:06.768Z - GET /temperature
2026-02-24T11:46:02.671Z - GET /temperature
2026-02-24T11:47:02.705Z - GET /temperature
2026-02-24T11:47:53.676Z - GET /temperature
2026-02-24T11:47:53.874Z - GET /temperature
2026-02-24T11:47:54.072Z - GET /temperature
2026-02-24T11:48:02.642Z - GET /temperature
2026-02-24T11:49:02.491Z - GET /temperature
2026-02-24T11:50:02.530Z - GET /temperature
2026-02-24T11:51:02.528Z - GET /temperature
2026-02-24T11:52:02.635Z - GET /temperature
2026-02-24T11:53:02.718Z - GET /temperature
2026-02-24T11:54:02.603Z - GET /temperature
2026-02-24T11:55:02.652Z - GET /temperature
2026-02-24T11:56:02.606Z - GET /temperature
2026-02-24T11:56:36.896Z - GET /temperature
2026-02-24T11:56:37.293Z - GET /temperature
2026-02-24T11:56:37.494Z - GET /temperature
2026-02-24T11:56:37.794Z - GET /temperature
2026-02-24T11:56:44.492Z - GET /temperature
2026-02-24T11:56:45.393Z - GET /temperature
2026-02-24T11:56:47.294Z - GET /temperature
2026-02-24T11:56:47.401Z - GET /temperature
2026-02-24T11:56:47.792Z - GET /temperature
2026-02-24T11:56:57.120Z - GET /temperature
2026-02-24T11:56:57.390Z - GET /temperature
2026-02-24T11:56:57.596Z - GET /temperature
2026-02-24T11:57:02.564Z - GET /temperature
2026-02-24T11:57:08.100Z - GET /temperature
2026-02-24T11:57:08.591Z - GET /temperature
2026-02-24T11:57:08.892Z - GET /temperature
2026-02-24T11:57:18.192Z - GET /temperature
2026-02-24T11:57:18.491Z - GET /temperature
2026-02-24T11:57:18.796Z - GET /temperature
2026-02-24T11:57:28.192Z - GET /temperature
2026-02-24T11:57:28.492Z - GET /temperature
2026-02-24T11:57:28.793Z - GET /temperature
2026-02-24T11:57:38.096Z - GET /temperature
2026-02-24T11:57:38.389Z - GET /temperature
2026-02-24T11:57:38.690Z - GET /temperature
2026-02-24T11:57:47.189Z - GET /temperature
2026-02-24T11:57:47.489Z - GET /temperature
2026-02-24T11:57:47.804Z - GET /temperature
2026-02-24T11:57:58.292Z - GET /temperature
2026-02-24T11:57:58.798Z - GET /temperature
2026-02-24T11:57:59.091Z - GET /temperature
2026-02-24T11:58:02.510Z - GET /temperature
2026-02-24T11:58:29.894Z - GET /temperature
2026-02-24T11:58:29.895Z - GET /temperature
2026-02-24T11:58:30.090Z - GET /temperature
2026-02-24T11:58:38.189Z - GET /temperature
2026-02-24T11:58:38.295Z - GET /temperature
2026-02-24T11:58:38.494Z - GET /temperature
2026-02-24T11:58:48.192Z - GET /temperature
2026-02-24T11:58:48.391Z - GET /temperature
2026-02-24T11:58:48.590Z - GET /temperature
2026-02-24T11:58:58.095Z - GET /temperature
2026-02-24T11:58:58.391Z - GET /temperature
2026-02-24T11:58:58.490Z - GET /temperature
2026-02-24T11:58:58.946Z - GET /temperature
2026-02-24T11:58:59.095Z - GET /temperature
2026-02-24T11:58:59.295Z - GET /temperature
2026-02-24T11:59:02.788Z - GET /temperature
2026-02-24T11:59:08.293Z - GET /temperature
2026-02-24T11:59:08.491Z - GET /temperature
2026-02-24T11:59:08.792Z - GET /temperature
2026-02-24T12:00:03.582Z - GET /temperature
2026-02-24T12:00:08.192Z - GET /temperature
2026-02-24T12:00:08.401Z - GET /temperature
2026-02-24T12:00:08.722Z - GET /temperature
2026-02-24T12:01:02.518Z - GET /temperature
2026-02-24T12:01:08.193Z - GET /temperature
2026-02-24T12:01:08.436Z - GET /temperature
2026-02-24T12:01:08.987Z - GET /temperature
2026-02-24T12:02:02.708Z - GET /temperature
2026-02-24T12:02:08.395Z - GET /temperature
2026-02-24T12:02:08.727Z - GET /temperature
2026-02-24T12:02:08.991Z - GET /temperature
