Fake Arduino at http://localhost:3002
2026-03-02T09:58:17.314Z - GET /temperature
2026-03-02T09:58:17.731Z - GET /temperature
2026-03-02T09:58:18.207Z - GET /temperature
2026-03-02T09:58:18.529Z - GET /temperature
2026-03-02T09:58:47.640Z - GET /temperature
2026-03-02T09:58:48.134Z - GET /temperature
2026-03-02T09:58:48.408Z - GET /temperature
2026-03-02T09:58:48.928Z - GET /temperature
2026-03-02T09:59:17.815Z - GET /temperature
2026-03-02T09:59:18.032Z - GET /temperature
2026-03-02T09:59:18.638Z - GET /temperature
2026-03-02T09:59:18.832Z - GET /temperature
2026-03-02T09:59:47.830Z - GET /temperature
2026-03-02T09:59:48.610Z - GET /temperature
2026-03-02T09:59:48.638Z - GET /temperature
2026-03-02T09:59:48.911Z - GET /temperature
2026-03-02T10:00:17.931Z - GET /temperature
2026-03-02T10:00:18.536Z - GET /temperature
2026-03-02T10:00:18.812Z - GET /temperature
2026-03-02T10:00:19.133Z - GET /temperature
2026-03-02T10:00:47.713Z - GET /temperature
2026-03-02T10:00:47.867Z - GET /temperature
2026-03-02T10:00:48.340Z - GET /temperature
2026-03-02T10:00:48.564Z - GET /temperature
2026-03-02T10:01:17.636Z - GET /temperature
2026-03-02T10:01:17.931Z - GET /temperature
2026-03-02T10:01:18.431Z - GET /temperature
2026-03-02T10:01:18.611Z - GET /temperature
2026-03-02T10:01:47.715Z - GET /temperature
2026-03-02T10:01:47.912Z - GET /temperature
2026-03-02T10:01:48.338Z - GET /temperature
2026-03-02T10:01:48.609Z - GET /temperature
2026-03-02T10:02:17.831Z - GET /temperature
2026-03-02T10:02:18.231Z - GET /temperature
2026-03-02T10:02:18.342Z - GET /temperature
2026-03-02T10:02:18.631Z - GET /temperature
2026-03-02T10:02:47.736Z - GET /temperature
2026-03-02T10:02:49.916Z - GET /temperature
2026-03-02T10:02:50.114Z - GET /temperature
2026-03-02T10:02:50.313Z - GET /temperature
2026-03-02T10:03:18.513Z - GET /temperature
2026-03-02T10:03:19.236Z - GET /temperature
2026-03-02T10:03:19.416Z - GET /temperature
2026-03-02T10:03:19.614Z - GET /temperature
2026-03-02T10:04:20.140Z - GET /temperature
2026-03-02T10:04:20.637Z - GET /temperature
2026-03-02T10:04:21.034Z - GET /temperature
2026-03-02T10:04:21.333Z - GET /temperature
2026-03-02T10:05:21.816Z - GET /temperature
2026-03-02T10:05:22.515Z - GET /temperature
2026-03-02T10:05:22.637Z - GET /temperature
2026-03-02T10:05:22.716Z - GET /temperature
2026-03-02T10:07:35.028Z - GET /temperature
2026-03-02T10:07:35.634Z - GET /temperature
2026-03-02T10:07:35.837Z - GET /temperature
2026-03-02T10:07:35.918Z - GET /temperature
2026-03-02T10:08:28.297Z - GET /temperature
2026-03-02T10:08:28.655Z - GET /temperature
2026-03-02T10:08:28.974Z - GET /temperature
2026-03-02T10:08:29.170Z - GET /temperature
2026-03-02T10:09:29.396Z - GET /temperature
2026-03-02T10:09:29.992Z - GET /temperature
2026-03-02T10:09:30.195Z - GET /temperature
2026-03-02T10:09:30.377Z - GET /temperature
2026-03-02T10:10:28.287Z - GET /temperature
2026-03-02T10:10:28.775Z - GET /temperature
2026-03-02T10:10:29.093Z - GET /temperature
