Fake Arduino at http://localhost:3000
2026-03-02T09:58:17.293Z - GET /temperature
2026-03-02T09:58:17.733Z - GET /temperature
2026-03-02T09:58:18.112Z - GET /temperature
2026-03-02T09:58:18.432Z - GET /temperature
2026-03-02T09:58:47.640Z - GET /temperature
2026-03-02T09:58:48.032Z - GET /temperature
2026-03-02T09:58:48.407Z - GET /temperature
2026-03-02T09:58:48.731Z - GET /temperature
2026-03-02T09:59:17.724Z - GET /temperature
2026-03-02T09:59:18.034Z - GET /temperature
2026-03-02T09:59:18.637Z - GET /temperature
2026-03-02T09:59:18.834Z - GET /temperature
2026-03-02T09:59:47.830Z - GET /temperature
2026-03-02T09:59:48.611Z - GET /temperature
2026-03-02T09:59:48.639Z - GET /temperature
2026-03-02T09:59:48.912Z - GET /temperature
2026-03-02T10:00:17.931Z - GET /temperature
2026-03-02T10:00:18.536Z - GET /temperature
2026-03-02T10:00:18.810Z - GET /temperature
2026-03-02T10:00:19.132Z - GET /temperature
2026-03-02T10:00:47.708Z - GET /temperature
2026-03-02T10:00:47.867Z - GET /temperature
2026-03-02T10:00:48.340Z - GET /temperature
2026-03-02T10:00:48.564Z - GET /temperature
2026-03-02T10:01:17.636Z - GET /temperature
2026-03-02T10:01:17.931Z - GET /temperature
2026-03-02T10:01:18.431Z - GET /temperature
2026-03-02T10:01:18.611Z - GET /temperature
2026-03-02T10:01:47.709Z - GET /temperature
2026-03-02T10:01:47.913Z - GET /temperature
2026-03-02T10:01:48.337Z - GET /temperature
2026-03-02T10:01:48.563Z - GET /temperature
2026-03-02T10:02:17.832Z - GET /temperature
2026-03-02T10:02:18.136Z - GET /temperature
2026-03-02T10:02:18.342Z - GET /temperature
2026-03-02T10:02:18.563Z - GET /temperature
2026-03-02T10:02:47.732Z - GET /temperature
2026-03-02T10:02:49.912Z - GET /temperature
2026-03-02T10:02:50.114Z - GET /temperature
2026-03-02T10:02:50.410Z - GET /temperature
2026-03-02T10:03:18.519Z - GET /temperature
2026-03-02T10:03:19.236Z - GET /temperature
2026-03-02T10:03:19.416Z - GET /temperature
2026-03-02T10:03:19.616Z - GET /temperature
2026-03-02T10:04:20.140Z - GET /temperature
2026-03-02T10:04:20.637Z - GET /temperature
2026-03-02T10:04:21.034Z - GET /temperature
2026-03-02T10:04:21.333Z - GET /temperature
2026-03-02T10:05:21.815Z - GET /temperature
2026-03-02T10:05:22.513Z - GET /temperature
2026-03-02T10:05:22.635Z - GET /temperature
2026-03-02T10:05:22.664Z - GET /temperature
2026-03-02T10:07:34.948Z - GET /temperature
2026-03-02T10:07:35.539Z - GET /temperature
2026-03-02T10:07:35.835Z - GET /temperature
2026-03-02T10:07:35.916Z - GET /temperature
2026-03-02T10:08:28.301Z - GET /temperature
2026-03-02T10:08:28.650Z - GET /temperature
2026-03-02T10:08:28.971Z - GET /temperature
2026-03-02T10:08:29.171Z - GET /temperature
2026-03-02T10:09:29.395Z - GET /temperature
2026-03-02T10:09:29.992Z - GET /temperature
2026-03-02T10:09:30.195Z - GET /temperature
2026-03-02T10:09:30.370Z - GET /temperature
2026-03-02T10:10:28.256Z - GET /temperature
2026-03-02T10:10:28.673Z - GET /temperature
2026-03-02T10:10:29.076Z - GET /temperature
2026-03-02T10:10:29.180Z - GET /temperature
2026-03-02T10:11:27.999Z - GET /temperature
2026-03-02T10:11:28.199Z - GET /temperature
2026-03-02T10:11:28.320Z - GET /temperature
2026-03-02T10:11:28.578Z - GET /temperature
2026-03-02T10:12:28.379Z - GET /temperature
2026-03-02T10:12:28.596Z - GET /temperature
2026-03-02T10:12:28.701Z - GET /temperature
2026-03-02T10:12:28.816Z - GET /temperature
2026-03-02T10:13:28.097Z - GET /temperature
2026-03-02T10:13:28.922Z - GET /temperature
2026-03-02T10:13:29.379Z - GET /temperature
2026-03-02T10:13:29.602Z - GET /temperature
2026-03-02T10:14:27.938Z - GET /temperature
2026-03-02T10:14:28.204Z - GET /temperature
2026-03-02T10:14:28.405Z - GET /temperature
2026-03-02T10:14:28.509Z - GET /temperature
2026-03-02T10:15:31.884Z - GET /temperature
2026-03-02T10:15:32.013Z - GET /temperature
2026-03-02T10:15:32.192Z - GET /temperature
2026-03-02T10:15:32.485Z - GET /temperature
2026-03-02T10:16:29.094Z - GET /temperature
2026-03-02T10:16:29.487Z - GET /temperature
2026-03-02T10:16:29.591Z - GET /temperature
2026-03-02T10:16:29.804Z - GET /temperature
2026-03-02T10:17:37.713Z - GET /temperature
2026-03-02T10:17:38.010Z - GET /temperature
2026-03-02T10:17:38.189Z - GET /temperature
2026-03-02T10:18:40.395Z - GET /temperature
2026-03-02T10:18:40.910Z - GET /temperature
2026-03-02T10:18:41.092Z - GET /temperature
2026-03-02T10:18:41.388Z - GET /temperature
2026-03-02T10:19:28.092Z - GET /temperature
2026-03-02T10:19:28.219Z - GET /temperature
2026-03-02T10:19:28.595Z - GET /temperature
2026-03-02T10:19:28.796Z - GET /temperature
2026-03-02T10:20:28.525Z - GET /temperature
2026-03-02T10:20:28.695Z - GET /temperature
2026-03-02T10:20:29.114Z - GET /temperature
2026-03-02T10:20:29.142Z - GET /temperature
2026-03-02T10:21:28.022Z - GET /temperature
2026-03-02T10:21:28.700Z - GET /temperature
2026-03-02T10:21:28.916Z - GET /temperature
2026-03-02T10:21:28.993Z - GET /temperature
2026-03-02T10:22:28.509Z - GET /temperature
2026-03-02T10:22:28.899Z - GET /temperature
2026-03-02T10:22:29.195Z - GET /temperature
2026-03-02T10:22:29.419Z - GET /temperature
2026-03-02T10:23:28.096Z - GET /temperature
2026-03-02T10:23:28.321Z - GET /temperature
2026-03-02T10:23:28.522Z - GET /temperature
2026-03-02T10:23:28.605Z - GET /temperature
2026-03-02T10:24:28.400Z - GET /temperature
2026-03-02T10:24:28.497Z - GET /temperature
2026-03-02T10:24:28.821Z - GET /temperature
2026-03-02T10:24:29.103Z - GET /temperature
2026-03-02T10:25:40.626Z - GET /temperature
2026-03-02T10:25:41.123Z - GET /temperature
2026-03-02T10:25:41.620Z - GET /temperature
2026-03-02T10:25:41.927Z - GET /temperature
2026-03-02T10:26:28.012Z - GET /temperature
2026-03-02T10:26:28.232Z - GET /temperature
2026-03-02T10:26:28.432Z - GET /temperature
2026-03-02T10:26:28.902Z - GET /temperature
2026-03-02T10:27:28.127Z - GET /temperature
2026-03-02T10:27:28.323Z - GET /temperature
2026-03-02T10:27:28.346Z - GET /temperature
2026-03-02T10:27:28.423Z - GET /temperature
2026-03-02T10:28:36.014Z - GET /temperature
2026-03-02T10:28:36.334Z - GET /temperature
2026-03-02T10:28:36.530Z - GET /temperature
2026-03-02T10:28:36.730Z - GET /temperature
