Fake Arduino at http://localhost:3004
2026-03-02T09:58:17.422Z - GET /temperature
2026-03-02T09:58:17.831Z - GET /temperature
2026-03-02T09:58:18.310Z - GET /temperature
2026-03-02T09:58:18.531Z - GET /temperature
2026-03-02T09:58:47.645Z - GET /temperature
2026-03-02T09:58:48.328Z - GET /temperature
2026-03-02T09:58:48.409Z - GET /temperature
2026-03-02T09:58:48.828Z - GET /temperature
2026-03-02T09:59:17.822Z - GET /temperature
2026-03-02T09:59:18.130Z - GET /temperature
2026-03-02T09:59:18.640Z - GET /temperature
2026-03-02T09:59:18.834Z - GET /temperature
2026-03-02T09:59:47.833Z - GET /temperature
2026-03-02T09:59:48.611Z - GET /temperature
2026-03-02T09:59:48.641Z - GET /temperature
2026-03-02T09:59:48.913Z - GET /temperature
2026-03-02T10:00:18.037Z - GET /temperature
2026-03-02T10:00:18.635Z - GET /temperature
2026-03-02T10:00:18.812Z - GET /temperature
2026-03-02T10:00:19.133Z - GET /temperature
2026-03-02T10:00:47.710Z - GET /temperature
2026-03-02T10:00:47.909Z - GET /temperature
2026-03-02T10:00:48.431Z - GET /temperature
2026-03-02T10:00:48.610Z - GET /temperature
2026-03-02T10:01:17.640Z - GET /temperature
2026-03-02T10:01:17.934Z - GET /temperature
2026-03-02T10:01:18.432Z - GET /temperature
2026-03-02T10:01:18.615Z - GET /temperature
2026-03-02T10:01:47.714Z - GET /temperature
2026-03-02T10:01:47.913Z - GET /temperature
2026-03-02T10:01:48.341Z - GET /temperature
2026-03-02T10:01:48.614Z - GET /temperature
2026-03-02T10:02:17.832Z - GET /temperature
2026-03-02T10:02:18.136Z - GET /temperature
2026-03-02T10:02:18.434Z - GET /temperature
2026-03-02T10:02:18.635Z - GET /temperature
2026-03-02T10:02:47.736Z - GET /temperature
2026-03-02T10:02:49.916Z - GET /temperature
2026-03-02T10:02:50.116Z - GET /temperature
2026-03-02T10:02:50.414Z - GET /temperature
2026-03-02T10:03:18.520Z - GET /temperature
2026-03-02T10:03:19.333Z - GET /temperature
2026-03-02T10:03:19.417Z - GET /temperature
2026-03-02T10:03:19.619Z - GET /temperature
2026-03-02T10:04:20.249Z - GET /temperature
2026-03-02T10:04:20.639Z - GET /temperature
2026-03-02T10:04:21.038Z - GET /temperature
2026-03-02T10:04:21.432Z - GET /temperature
2026-03-02T10:05:21.819Z - GET /temperature
2026-03-02T10:05:22.517Z - GET /temperature
2026-03-02T10:05:22.639Z - GET /temperature
2026-03-02T10:05:22.720Z - GET /temperature
2026-03-02T10:07:35.028Z - GET /temperature
2026-03-02T10:07:35.635Z - GET /temperature
2026-03-02T10:07:35.839Z - GET /temperature
2026-03-02T10:07:35.918Z - GET /temperature
2026-03-02T10:08:28.391Z - GET /temperature
2026-03-02T10:08:28.657Z - GET /temperature
2026-03-02T10:08:28.972Z - GET /temperature
2026-03-02T10:08:29.171Z - GET /temperature
2026-03-02T10:09:29.398Z - GET /temperature
2026-03-02T10:09:30.093Z - GET /temperature
2026-03-02T10:09:30.197Z - GET /temperature
2026-03-02T10:09:30.376Z - GET /temperature
2026-03-02T10:10:28.297Z - GET /temperature
2026-03-02T10:10:28.673Z - GET /temperature
2026-03-02T10:10:29.095Z - GET /temperature
